full_name,position_encoded,team_encoded,current_team_encoded,now_cost,fantasy_points,total_points,goals_scored,assists,clean_sheets,saves,minutes,expected_goals,expected_assists,penalties_saved,penalties_missed,yellow_cards,red_cards,own_goals,bonus,form,form_variability,avg_goals_last_3,avg_assists_last_3,avg_points_last_3,opponent_difficulty,home_difficulty,element
Luis Guilherme Lira dos Santos,3,38,18,47.0,21,4,0,0,0,0,0.011111111111110902,0.03,0.09,0,0,0,0,0,0,0.05833333333333329,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,428
Luis Sinisterra,3,13,2,49.0,676,1481,69,69,34,0,6.869298245614034,90.17,35.93,0,0,0,0,0,70,0.023030303030302977,0.80754477132154,1.290909090909091,1.290909090909091,0.1018392012611665,0.0,0.0,429
Luke Cundle,3,12,19,45.0,97,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,430
Luke Harris,3,19,8,45.0,131,186,0,0,0,0,0.890058479532159,10.080000000000002,0.36,0,0,0,0,0,0,0.0166666666666666,0.041892048547584174,0.0,0.0,0.03687252814116208,0.0,0.0,431
Luke Shaw,0,5,13,49.0,2871,5892,38,190,608,0,39.04210526315789,43.32,144.03,0,0,532,0,0,760,0.14725085910652916,1.2103347163669844,0.4020618556701031,2.0,0.20350396281508842,0.0,0.0,432
Luke Thomas,0,1,10,39.0,292,1310,0,38,76,0,21.29327485380117,21.990000000000002,24.59,0,0,219,0,38,0,0.07730496453900702,0.2661605613006702,0.0,0.4148936170212766,0.04726765875456067,0.0,0.0,433
Luke Woolfenden,0,29,9,40.0,31,13,0,0,1,0,0.2154970760233917,0.03,0.02,0,0,2,0,0,0,0.0333333333333333,0.5906182958385362,0.0,0.0,0.03738875126158355,0.0,0.0,434
Mads Hermansen,2,30,10,45.0,55,38,0,0,1,65,0.4078947368421051,0.0,0.01,0,0,0,0,0,0,0.0999999999999999,0.923629774531159,0.0,0.0,0.044591246903385576,0.0,0.0,435
Mads Roerslev Rasmussen,0,14,3,43.0,2133,4708,38,78,382,0,34.446783625730994,50.71,83.48,0,0,39,0,0,114,0.07792096219931263,1.0703432867614757,0.3917525773195876,0.7972508591065292,0.1570029596964821,0.0,0.0,436
Maeson King,0,37,17,40.0,6,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,437
Mahmoud Dahoud,3,15,4,49.0,97,532,0,38,38,0,4.988888888888888,8.36,20.520000000000003,0,0,38,38,0,0,0.0166666666666666,0.03372664925441098,0.0,0.6610169491525424,0.03850298814539036,0.0,0.0,438
Malachi Hardy,0,37,17,40.0,10,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,439
Malang Sarr,0,16,5,45.0,97,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,440
Malcolm Ebiowei,3,17,6,45.0,97,114,0,0,0,0,0.3444444444444438,0.0,0.38,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,441
Maldini Kacurri,0,20,0,40.0,18,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,442
Malo Gusto,0,17,5,49.0,1178,2841,0,229,191,0,19.761988304093567,39.61,129.94,0,0,269,38,0,380,0.16977401129943495,1.3428148504809387,0.0,3.983050847457627,0.1471212566539303,0.0,0.0,443
Manor Solomon,3,19,17,54.0,1123,2204,152,76,0,0,8.399999999999997,61.559999999999995,58.14,0,0,38,0,0,114,0.04931271477663222,0.4307970971774764,1.6082474226804124,0.7835051546391752,0.09707407186699238,0.0,0.0,444
Manuel Akanji,0,4,12,53.0,3083,6998,76,33,652,0,50.37543859649123,105.42,101.72,0,0,145,38,0,470,0.2490942028985507,1.766624649827954,0.8260869565217391,0.3695652173913043,0.22442824830359379,0.0,0.0,445
Manuel Ugarte,3,33,13,49.0,20,17,0,0,1,0,0.2482456140350873,0.26,0.43,0,0,5,0,1,0,0.2499999999999999,0.5281485579855659,0.0,0.0,0.03564547206165696,0.0,0.0,446
Marc Cucurella Saseta,0,16,5,52.0,1687,4189,1,192,383,0,38.804385964912285,59.089999999999996,76.32,0,0,538,1,38,154,0.14278350515463914,0.8706772399577587,0.010309278350515464,2.0,0.13098146713545075,0.0,0.0,447
Marc Guiu Paz,1,25,5,47.0,21,2,0,0,0,0,0.009649122807017501,0.0,0.0,0,0,0,0,0,0,0.0333333333333333,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,448
Marc Guéhi,0,17,6,45.0,2391,6188,41,39,575,0,59.97076023391813,78.95,69.6,0,0,385,0,40,312,0.23247422680412363,1.143549968604216,0.42611683848797255,0.4020618556701031,0.17289394752001266,0.0,0.0,449
Marcos Senesi,0,13,2,47.0,3007,6450,226,190,414,0,52.07368421052632,137.47,99.65,0,0,757,0,0,682,0.19722222222222216,1.7212214453495946,2.375,1.9791666666666667,0.2115245664739884,0.0,0.0,450
Marcus Bettinelli,2,16,5,39.0,53,-38,0,0,0,0,0.0,0.0,0.0,0,0,38,0,0,0,0.0166666666666666,0.0437334572749505,0.0,0.0,0.032268309724957055,0.0,0.0,451
Marcus Myers-Harness,3,29,9,49.0,21,2,0,0,0,0,0.0125730994152046,0.0,0.05,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,452
Marcus Rashford,3,5,13,68.0,6517,11948,916,381,765,0,57.440643274853805,852.8,216.44,0,0,154,0,0,801,0.18281786941580752,2.851644228497812,9.618556701030927,4.0,0.42428937488826646,0.0,0.0,453
Marcus Tavernier,3,13,2,55.0,2978,7002,305,308,497,0,43.19941520467837,270.46999999999997,215.31,0,0,154,0,0,648,0.10154639175257728,1.0444136937051454,3.195876288659794,3.216494845360825,0.20886717120553003,0.0,0.0,454
Mario Lemina,3,12,19,50.0,754,4357,153,61,253,0,40.97222222222223,181.1,57.95,0,0,424,58,0,499,0.17911392405063284,0.9479981176334085,1.9367088607594938,0.7848101265822784,0.08436379600497544,0.0,0.0,455
Mark Flekken,2,14,3,45.0,2660,4586,0,39,268,4465,37.03654970760233,0.0,5.390000000000001,0,0,115,0,0,458,0.3796610169491525,2.5605933573728135,0.0,0.6779661016949152,0.29571209300806633,0.0,0.0,456
Mark O’Mahony,1,15,4,45.0,48,54,0,0,0,0,0.4815789473684205,1.6199999999999999,0.0,0,0,27,0,0,0,0.0307291666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,457
Mark Travers,2,13,2,44.0,1403,1805,0,0,153,1882,15.63157894736842,0.0,0.01,0,0,0,0,0,115,0.11786941580756005,0.5764118689186427,0.0,0.0,0.11354110799912596,0.0,0.0,458
Martial Godo,3,19,8,45.0,51,1,0,0,0,0,0.0040935672514619,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,459
Martin Dúbravka,2,34,14,42.0,50,37,0,0,5,14,0.1578947368421052,0.0,0.0,0,0,0,0,0,2,0.11666666666666659,0.6228503189786165,0.0,0.0,0.0411964400403706,0.0,0.0,460
Martin Ødegaard,3,0,0,83.0,7729,15176,875,725,1222,0,69.54619883040935,659.58,693.98,0,0,229,0,0,2134,0.42302405498281787,2.4239467641831425,9.175257731958762,7.549828178694159,0.4958186838289335,0.0,0.0,461
Mason Holgate,0,18,7,40.0,96,647,0,0,76,0,13.523684210526312,58.9,14.06,0,0,152,76,0,76,0.02986111111111107,0.31091754781410125,0.0,0.0,0.034983140655105924,0.0,0.0,462
Mason Mount,3,16,13,63.0,1503,3998,152,152,343,0,23.993274853801168,89.32,120.92,0,0,230,0,0,304,0.03625429553264598,0.6746912619871618,1.597938144329897,1.6082474226804124,0.12037423276324409,0.0,0.0,463
Massimo Luongo,3,29,9,44.0,23,7,0,0,0,0,0.0418128654970758,0.0,0.0,0,0,0,0,0,0,0.0333333333333333,0.10236365197068456,0.0,0.0,0.035507844756399586,0.0,0.0,464
Mateo Kovačić,3,4,12,54.0,510,2300,41,1,347,0,17.477777777777778,48.33,64.85,0,0,156,0,0,84,0.15960451977401127,0.8576504308538213,0.711864406779661,0.01694915254237288,0.0797818490578361,0.0,0.0,465
Mateus Gonçalo Espanha Fernandes,3,36,16,50.0,43,42,1,1,4,0,0.42982456140350817,2.8600000000000003,1.8800000000000001,0,0,6,0,0,0,0.1666666666666666,1.3037003390971003,0.05,0.05,0.041136801541425766,0.0,0.0,466
Mateusz Lis,2,8,16,40.0,59,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,467
Matheus França de Oliveira,3,18,6,44.0,287,608,0,76,0,0,2.4888888888888885,12.540000000000001,17.48,0,0,38,0,0,0,0.0166666666666666,0.2023598955264659,0.0,1.3220338983050848,0.05760752424806497,0.0,0.0,468
Matheus Luiz Nunes,3,12,12,49.0,878,4126,36,115,473,0,35.382163742690054,120.75,116.67999999999999,0,0,73,74,0,220,0.1207017543859649,0.5829908545118703,0.3894736842105263,1.2210526315789474,0.08319643038231411,0.0,0.0,469
Matheus Santos Carneiro Da Cunha,1,12,19,71.0,2633,6061,508,270,336,0,33.45906432748538,401.1,119.96000000000001,0,0,365,0,0,721,0.3258333333333333,3.477805325837964,6.375,3.375,0.21972543352601154,0.0,0.0,470
Mathias Jensen,3,14,3,53.0,3300,8763,304,419,724,0,55.80614035087719,116.11,368.93,0,0,381,0,0,799,0.1355670103092783,1.1697363917023285,3.185567010309278,4.391752577319588,0.22857199610670792,0.0,0.0,471
Mathias Jorgensen,0,14,3,45.0,1072,2677,38,35,216,0,23.293274853801165,74.67,26.150000000000002,0,0,222,0,35,254,0.07251773049645384,0.3387016798876908,0.40425531914893614,0.3829787234042553,0.09580617390234898,0.0,0.0,472
Mats Wieffer,3,24,4,47.0,33,28,1,2,1,0,0.1356725146198825,0.5,0.18000000000000002,0,0,2,0,0,3,0.0333333333333333,1.220565126822034,0.047619047619047616,0.1349206349206349,0.03913203046151016,0.0,0.0,473
Matt Doherty,0,9,19,43.0,1183,2916,77,1,154,0,20.249415204678364,62.67,43.61,0,0,79,0,1,116,0.10704467353951883,0.6302468110772919,0.8041237113402062,0.010309278350515464,0.1005104979838309,0.0,0.0,474
Matt O'Riley,3,24,4,55.0,30,22,1,1,2,0,0.1201754385964907,1.06,1.19,0,0,1,0,1,2,0.0833333333333333,0.9185660739502864,0.05263157894736842,0.017543859649122806,0.03701450157184864,0.0,0.0,475
Matt Targett,0,6,14,40.0,553,1407,0,0,114,0,7.525730994152043,0.38,25.84,0,0,76,0,0,76,0.039518900343642575,0.24616976981570074,0.0,0.0,0.06257076455515158,0.0,0.0,476
Matt Turner,2,0,6,40.0,1047,1558,0,0,76,2090,17.0,0.0,0.0,0,0,76,0,0,0,0.0166666666666666,1.0257073742320866,0.0,0.0,0.09129372504618309,0.0,0.0,477
Matthijs de Ligt,0,33,13,50.0,51,45,1,0,3,0,0.40643274853801126,1.55,0.13,0,0,3,0,0,3,0.11666666666666659,1.9131475901981192,0.047619047619047616,0.0,0.042756216166620724,0.0,0.0,478
Matty Cash,0,11,1,44.0,1637,4630,77,152,268,0,44.25964912280702,175.4,130.72,0,0,461,0,38,267,0.09999999999999994,0.7518496002866343,0.7938144329896907,1.5876288659793814,0.12736626740559756,0.0,0.0,479
Matz Sels,2,7,15,47.0,365,641,0,1,25,655,7.2894736842105265,0.0,1.5,0,0,18,0,0,25,0.23063063063063058,1.6564496454388327,0.0,0.02702702702702703,0.08790293183356764,0.0,0.0,480
Max Aarons,0,13,2,43.0,482,1072,0,38,77,0,13.724561403508773,1.52,33.83,0,0,38,0,0,0,0.05960451977401125,0.5225909839147843,0.0,0.6610169491525424,0.07720192025080823,0.0,0.0,481
Max Kilman,0,12,18,45.0,2827,7300,76,39,611,0,75.27602339181287,118.86,62.260000000000005,0,0,383,0,0,573,0.15274914089347072,1.114239943588184,0.7835051546391752,0.41237113402061853,0.19998808175913227,0.0,0.0,482
Max Kinsey,0,13,2,40.0,28,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,483
Maxence Lacroix,0,26,6,45.0,62,58,1,1,5,0,0.4736842105263156,1.51,0.44,0,0,3,0,0,4,0.4333333333333333,1.955303713806447,0.05555555555555555,0.05555555555555555,0.04811603511025471,0.0,0.0,484
Maxwel Cornet,3,10,16,47.0,360,1013,38,0,0,0,3.741812865497073,61.980000000000004,5.2,0,0,1,0,0,0,0.03272569444444439,0.24815203437353092,0.3958333333333333,0.0,0.05063824662813096,0.0,0.0,485
Michael Golding,3,30,10,44.0,21,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,486
Michael Keane,0,18,7,41.0,1261,2198,78,76,116,0,16.014619883040933,70.73,33.839999999999996,0,0,80,0,0,269,0.07604166666666663,0.7237763537441038,0.8229166666666666,0.8125,0.10609344894026972,0.0,0.0,487
Michail Antonio,1,10,18,54.0,2136,6198,419,194,384,0,39.28830409356725,463.52000000000004,71.59,0,0,305,0,0,459,0.19295532646048108,0.9228459104112264,4.371134020618556,2.0309278350515463,0.15785710029199682,0.0,0.0,488
Micky van de Ven,0,9,17,45.0,1370,3106,114,2,192,0,26.241520467836256,23.53,13.23,0,0,194,0,0,382,0.17768361581920897,1.4826807115662868,1.9830508474576272,0.03389830508474576,0.16645439404330356,0.0,0.0,489
Miguel Almirón Rejala,3,6,14,55.0,4012,8939,532,190,760,0,49.12105263157895,479.27,204.99,0,0,152,0,0,722,0.11494845360824738,1.6846981934466922,5.597938144329897,2.0,0.2728085334604612,0.0,0.0,490
Mikel Merino,3,20,0,60.0,39,36,2,1,2,0,0.1938596491228065,2.06,0.66,0,0,2,0,0,2,0.35,1.3590533524794994,0.10526315789473684,0.03508771929824561,0.04046242774566467,0.0,0.0,491
Mikey Moore,3,9,17,45.0,28,17,0,0,0,0,0.029239766081870903,0.04,0.03,0,0,0,0,0,0,0.05462962962962959,0.08281733249999222,0.0,0.0,0.03489616784414463,0.0,0.0,492
Mikkel Damsgaard,3,14,3,50.0,754,3008,2,158,306,0,20.153216374269,116.29,87.62,0,0,225,0,0,6,0.2342881944444444,1.0384590659023887,0.020833333333333332,1.642361111111111,0.07416104688503526,0.0,0.0,493
Milos Kerkez,0,13,2,47.0,949,2318,1,79,233,0,22.375730994152047,50.550000000000004,41.92,0,0,154,38,38,46,0.09081920903954795,1.3863869721256044,0.01694915254237288,1.3672316384180792,0.12370595343065212,0.0,0.0,494
Miodrag Pivaš,0,34,14,40.0,21,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,495
Mitoma Kaoru,3,24,4,66.0,72,80,4,3,4,0,0.4859649122807009,4.23,3.05,0,0,0,0,0,8,0.45000000000000007,1.9180795584478827,0.19841269841269837,0.15079365079365079,0.0492246995137168,0.0,0.0,496
Mohamed Salah,3,3,11,134.0,10550,17311,1424,963,806,0,65.19327485380117,1608.47,555.84,0,152,153,0,0,1821,0.6767361111111111,3.4176709857977356,15.027777777777779,10.166666666666666,0.6725272960822094,0.0,0.0,497
Mohammed Kudus,3,10,18,62.0,2364,4848,283,316,108,0,25.8093567251462,180.95,123.53,0,0,210,1,0,459,0.33541666666666664,2.7942951412435177,5.196428571428571,5.803571428571429,0.27952105697770435,0.0,0.0,498
Moisés Caicedo Corozo,3,15,5,49.0,893,6253,77,155,651,0,67.24239766081871,79.95,173.39999999999998,0,0,802,0,0,230,0.25378006872852227,0.560917938298693,0.8041237113402062,1.6082474226804124,0.08259340921280017,0.0,0.0,499
Morgan Gibbs-White,3,7,15,63.0,4778,10978,384,915,502,0,70.46959064327486,512.24,491.71,0,0,575,1,0,922,0.48247422680412366,1.6665378965133413,4.006872852233677,9.556701030927835,0.31730329936634677,0.0,0.0,500
Morgan Rogers,3,11,1,53.0,388,654,54,21,36,0,3.457602339181285,25.23,8.21,0,0,53,0,0,11,0.15720720720720718,2.336010331541022,1.5405405405405406,0.5765765765765766,0.09180857157735764,0.0,0.0,501
Moussa Diaby,3,11,1,65.0,2757,5396,228,418,304,0,24.08888888888889,281.2,161.12,0,0,38,0,0,380,0.16694915254237278,2.39459209706318,3.9661016949152543,7.271186440677966,0.30596649358283523,0.0,0.0,502
Murillo Santiago Costa dos Santos,0,7,15,46.0,530,2110,1,70,113,0,29.072222222222223,63.37,23.07,0,0,179,0,35,46,0.1416666666666666,1.065032169164764,0.017857142857142856,1.2857142857142858,0.08460638590696387,0.0,0.0,503
Mykhailo Mudryk,3,16,5,62.0,1826,4054,190,228,266,0,21.0312865497076,216.07999999999998,144.29999999999998,0,0,209,0,0,190,0.1344017094017093,2.040894672831024,2.4358974358974357,2.948717948717949,0.1646657773825403,0.0,0.0,504
Myles Lewis-Skelly,3,0,0,45.0,46,10,0,0,2,0,0.09590643274853769,0.0,0.13,0,0,2,0,0,0,0.07771317829457358,0.19082988129140774,0.0,0.0,0.035085360935609544,0.0,0.0,505
Myles Peart-Harris,3,14,3,45.0,48,81,0,0,0,0,0.0868421052631566,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,506
Naouirou Ahamada,3,17,6,45.0,-75,734,0,0,0,0,4.146783625730991,17.900000000000002,4.92,0,0,94,38,0,0,0.020562770562770505,0.20673997984522055,0.0,0.0,0.023271526161699477,0.0,0.0,507
Nathan Aké,0,4,12,53.0,3422,7282,114,114,573,0,43.62017543859649,152.98000000000002,92.87,0,0,76,0,0,570,0.21941580756013743,1.2503401187326488,1.1855670103092784,1.175257731958763,0.2351270285839143,0.0,0.0,508
Nathan Broadhead,3,29,9,49.0,24,10,0,0,1,0,0.08830409356725119,0.7,0.76,0,0,1,0,0,0,0.0999999999999999,0.12777531299998798,0.0,0.0,0.0353243416827231,0.0,0.0,509
Nathan Butler-Oyedeji,1,0,0,45.0,37,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,510
Nathan Collins,0,12,3,45.0,1938,5117,40,42,421,0,50.10818713450292,71.28,45.169999999999995,0,0,192,38,0,533,0.22689003436426108,1.631837695270511,0.41237113402061853,0.4329896907216495,0.14496553642015764,0.0,0.0,511
Nathan Fraser,1,12,19,45.0,81,245,0,0,35,0,1.8728070175438574,11.200000000000001,2.1,0,0,35,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,512
